codigo;archivo;imagen_url;url_origen
302;MR.POPS EVOLUTION CEREZA..x24u (cod 302 ).jpeg;/static/productos_img/MR.POPS EVOLUTION CEREZA..x24u (cod 302 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TVIuUE9QUyBFVk9MVVRJT04gQ0VSRVpBLi54MjR1IChjb2Q6IDMwMiAp.jpeg
303;MR.POPS EVOLUT.BLUE BERRY.x24u (cod 303 ).jpeg;/static/productos_img/MR.POPS EVOLUT.BLUE BERRY.x24u (cod 303 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TVIuUE9QUyBFVk9MVVQuQkxVRSBCRVJSWS54MjR1IChjb2Q6IDMwMyAp.jpeg
304;MR.POPS EVOLUTION EXTREME.x24u (cod 304 ).jpeg;/static/productos_img/MR.POPS EVOLUTION EXTREME.x24u (cod 304 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TVIuUE9QUyBFVk9MVVRJT04gRVhUUkVNRS54MjR1IChjb2Q6IDMwNCAp.jpeg
305;MR.POPS ARQUIT.FTAL.......x50u (cod 305 ).jpeg;/static/productos_img/MR.POPS ARQUIT.FTAL.......x50u (cod 305 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TVIuUE9QUyBBUlFVSVQuRlRBTC4uLi4uLi54NTB1IChjb2Q6IDMwNSAp.jpeg
307;CHUPETIN MAST. TATOO FRUTILLA X50U (cod 307 ).jpeg;/static/productos_img/CHUPETIN MAST. TATOO FRUTILLA X50U (cod 307 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hVUEVUSU4gTUFTVC4gVEFUT08gRlJVVElMTEEgWDUwVSAoY29kOiAzMDcgKQ==.jpeg
308;CHUPETIN MAST. TATOO TUTTI FRUT X50U (cod 308 ).jpeg;/static/productos_img/CHUPETIN MAST. TATOO TUTTI FRUT X50U (cod 308 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hVUEVUSU4gTUFTVC4gVEFUT08gVFVUVEkgRlJVVCBYNTBVIChjb2Q6IDMwOCAp.jpeg
309;CHUPETIN MASTICABLE PINTA LENGUA X 50UND (cod 309 ).jpeg;/static/productos_img/CHUPETIN MASTICABLE PINTA LENGUA X 50UND (cod 309 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hVUEVUSU4gTUFTVElDQUJMRSBQSU5UQSBMRU5HVUEgWCA1MFVORCAoY29kOiAzMDkgKQ==.jpeg
310;CHUPETIN PUSH POP.........x20u (cod 310 ).jpeg;/static/productos_img/CHUPETIN PUSH POP.........x20u (cod 310 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hVUEVUSU4gUFVTSCBQT1AuLi4uLi4uLi54MjB1IChjb2Q6IDMxMCAp.jpeg
311;CHUPETIN PICO-DULCE.......x48u (cod 311 ).jpeg;/static/productos_img/CHUPETIN PICO-DULCE.......x48u (cod 311 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q0hVUEVUSU4gUElDTy1EVUxDRS4uLi4uLi54NDh1IChjb2Q6IDMxMSAp.jpeg
312;CRAZY BULL DOG CHUPETIN + POLVO X 10 UND (cod 312 ).jpeg;/static/productos_img/CRAZY BULL DOG CHUPETIN + POLVO X 10 UND (cod 312 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/Q1JBWlkgQlVMTCBET0cgQ0hVUEVUSU4gKyBQT0xWTyBYIDEwIFVORCAoY29kOiAzMTIgKQ==.jpeg
400;MASTICABLE SURTIDO MISKY X 800gs (cod 400 ).jpeg;/static/productos_img/MASTICABLE SURTIDO MISKY X 800gs (cod 400 ).jpeg;https://blending.com.ar/elproveedorvirtual/img/TUFTVElDQUJMRSBTVVJUSURPIE1JU0tZIFggODAwZ3MgKGNvZDogNDAwICk=.jpeg
